id,identification,DangerLevel,Date,Name,漏洞状态,人气,漏洞描述,CVSS评分,评分详细信息,漏洞类型
3,CVE-2020-36158,高危,2021-01-05,Linux kernel 安全漏洞,中文数据:有 漏洞利用代码:有 漏洞细节:有 漏洞载体:有 漏洞检测脚本:有 ,137,Linuxkernel是美国Linux基金会的开源操作系统Linux所使用的内核。Linuxkernelthrough5.10.4存在安全漏洞，该漏洞允许远程攻击者通过一个长SSID值执行任意代码。,8.3,攻击向量:邻近网络（e.g. 以太网，蓝牙，WiFi） 攻击复杂度:低 身份认证:无 机密性影响:完全 完整性影响:完全 可用性影响:完全 ,"CWE-120,CVE,denialofservice,arbitrary,kernel,local,x86,"
4,CVE-2021-3018,高危,2021-01-05,Ipeak Ibexwebcms SQL注入漏洞,中文数据:有 漏洞利用代码:有 漏洞细节:有 漏洞载体:有 漏洞检测脚本:有 ,245,IpeakIbexwebcms是挪威Ipeak公司的一款用于预定住房的建站系统。ipeakInfosystemsibexwebCMS(IPeakCMS)3.5存在SQL注入漏洞，该漏洞源于/cms/print.php页面id参数的未经验证。,7.5,攻击向量:网络 攻击复杂度:低 身份认证:无 机密性影响:部分 完整性影响:部分 可用性影响:部分 ,"CWE-89,exploit,remote,sqlinjection,"
5,CVE-2021-3019,低危,2021-01-05,ffay lanproxy 路径遍历漏洞,中文数据:有 漏洞利用代码:暂无 漏洞细节:有 漏洞载体:有 漏洞检测脚本:有 ,103,FfayLanproxy是Ffay个人开发者的一个可将局域网内服务代理到公网的内网穿透工具。ffaylanproxy0.1存在路径遍历漏洞，该漏洞允许目录遍历读取/../conf/config.properties来获取到内部网连接的凭据。,5.0,攻击向量:网络 攻击复杂度:低 身份认证:无 机密性影响:部分 完整性影响:无 可用性影响:无 ,"CWE-22,"
6,CVE-2020-29491,低危,2021-01-04,Dell Wyse ThinOS 安全漏洞,中文数据:暂无 漏洞利用代码:暂无 漏洞细节:有 漏洞载体:有 漏洞检测脚本:有 ,85,DellWyseThinOS是美国戴尔（Dell）公司的一款用于Dell服务器的专用操作系统。DellWyseThinOS8.6及之前版本存在安全漏洞，该漏洞允许未经身份验证的远程攻击者访问本地网络上的敏感信息，从而导致影响客户机。,5.0,攻击向量:网络 攻击复杂度:低 身份认证:无 机密性影响:部分 完整性影响:无 可用性影响:无 ,"CWE-276,"
7,CVE-2020-29492,中危,2021-01-04,Dell Wyse ThinOS 授权问题漏洞,中文数据:暂无 漏洞利用代码:暂无 漏洞细节:有 漏洞载体:有 漏洞检测脚本:有 ,83,DellWyseThinOS是美国戴尔（Dell）公司的一款用于Dell服务器的专用操作系统。DellWyseThinOS8.6andpriorversions存在安全漏洞，未经身份验证的远程攻击者可利用该漏洞可能利用此漏洞访问可写文件并操纵任何目标特定站点的配置。,6.4,攻击向量:网络 攻击复杂度:低 身份认证:无 机密性影响:部分 完整性影响:部分 可用性影响:无 ,"CWE-276,"
8,CVE-2020-29496,低危,2021-01-04,DELL Dell Wyse Management Suite 跨站脚本漏洞,中文数据:有 漏洞利用代码:暂无 漏洞细节:有 漏洞载体:有 漏洞检测脚本:有 ,240,DELLDellWyseManagementSuite是美国戴尔（DELL）公司的一套用于管理和优化Wyse端点的、可扩展的解决方案。该产品包括Wyse端点集中管理、资产追踪和自动设备发现等功能。DellWyseManagementSuiteversionspriorto3.1存在安全漏洞，具有高权限的远程身份验证恶意用户可以利用此漏洞在创建Enduser时存储恶意HTML或JavaScript代码。当受害者用户通过浏览器访问提交的数据时，恶意代码将由web浏览器在受攻击的应用程序的上下文中执行。,3.5,攻击向量:网络 攻击复杂度:中 身份认证:单一 机密性影响:无 完整性影响:部分 可用性影响:无 ,"CWE-79,firmware,"
9,CVE-2020-29497,低危,2021-01-04,DELL Dell Wyse Management Suite 跨站脚本漏洞,中文数据:暂无 漏洞利用代码:暂无 漏洞细节:有 漏洞载体:有 漏洞检测脚本:有 ,249,DELLDellWyseManagementSuite是美国戴尔（DELL）公司的一套用于管理和优化Wyse端点的、可扩展的解决方案。该产品包括Wyse端点集中管理、资产追踪和自动设备发现等功能。DellWyseManagementSuiteversionspriorto3.1存在跨站脚本漏洞，具有较低权限的远程身份验证恶意用户可以利用此漏洞将恶意HTML或JavaScript代码存储在设备标记下。当受害者用户通过浏览器访问提交的数据时，恶意代码将由web浏览器在受攻击的应用程序的上下文中执行。,3.5,攻击向量:网络 攻击复杂度:中 身份认证:单一 机密性影响:无 完整性影响:部分 可用性影响:无 ,"CWE-79,firmware,"
10,CVE-2020-29498,中危,2021-01-04,Dell Wyse Management Suite  安全漏洞,中文数据:有 漏洞利用代码:暂无 漏洞细节:有 漏洞载体:有 漏洞检测脚本:有 ,243,DELLDellWyseManagementSuite是美国戴尔（DELL）公司的一套用于管理和优化Wyse端点的、可扩展的解决方案。该产品包括Wyse端点集中管理、资产追踪和自动设备发现等功能。DellWyseManagementSuiteversionspriorto3.1存在安全漏洞，该漏洞允许未经身份验证的远程攻击者将应用程序用户重定向到任意weburl。,5.8,攻击向量:网络 攻击复杂度:中 身份认证:无 机密性影响:部分 完整性影响:部分 可用性影响:无 ,"CWE-601,firmware,"
11,CVE-2020-26293,低危,2021-01-04,HtmlSanitizer 安全漏洞,中文数据:有 漏洞利用代码:暂无 漏洞细节:有 漏洞载体:有 漏洞检测脚本:有 ,55,HtmlSanitizer存在安全漏洞，攻击者可利用该漏洞就可以在通过杀毒软件后制作包含脚本的HTML。,4.3,攻击向量:网络 攻击复杂度:中 身份认证:无 机密性影响:无 完整性影响:部分 可用性影响:无 ,"CWE-79,"
12,CVE-2021-3014,低危,2021-01-04,Mikrotik MikroTik RouterOS 跨站脚本漏洞,中文数据:有 漏洞利用代码:暂无 漏洞细节:有 漏洞载体:有 漏洞检测脚本:有 ,378,MikrotikMikroTikRouterOS是拉脱维亚MikroTik（Mikrotik）公司的一套基于Linux开发的路由器操作系统。该系统可部署在PC中，使其提供路由器功能。MikroTikRouterOSthrough2021-01-04存在跨站脚本漏洞，该漏洞源于登录页面容易受到target参数的攻击。,4.3,攻击向量:网络 攻击复杂度:中 身份认证:无 机密性影响:无 完整性影响:部分 可用性影响:无 ,"CWE-79,iot,"
